6,int,1,1,
5,main,1,5,
31,(,1,9,
32,),1,10,
28,{,2,1,
14,char,3,1,
42,_name,3,6,
26,=,3,12,
34,",3,14,
48,hi hjy,3,15,
34,",3,21,
30,;,3,22,
14,char,4,1,
42,_name1,4,6,
26,=,4,13,
43,123,4,15,
-6,;,4,18,
6,int,5,1,
42,a,5,5,
26,=,5,7,
43,123,5,9,
30,;,5,12,
6,int,6,1,
42,b,6,5,
26,=,6,7,
-4,1.23,6,9,
30,;,6,13,
8,double,7,1,
42,c,7,8,
26,=,7,10,
44,0.23,7,12,
30,;,7,16,
7,float,8,1,
42,d,8,7,
26,=,8,9,
44,14.23,8,11,
30,;,8,16,
6,int,9,1,
42,e,9,5,
26,=,9,7,
45,0b10100,9,9,
30,;,9,16,
6,int,10,1,
42,f,10,5,
26,=,10,7,
43,0,10,9,
-3,123,10,10,
30,;,10,13,
6,int,11,1,
42,g,11,5,
26,=,11,7,
47,0x123,11,9,
-3,GG,11,14,
30,;,11,16,
6,int,12,1,
42,h,12,5,
26,=,12,7,
45,0b1,12,9,
-3,23,12,12,
30,;,12,14,
6,int,13,1,
42,i,13,5,
26,=,13,7,
46,0o,13,9,
-3,888,13,11,
30,;,13,14,
6,int,14,1,
-1,123,14,5,
42,sum,14,8,
-4,=,14,12,
43,0,14,14,
30,;,14,15,
42,for,15,1,
31,(,15,5,
6,int,15,6,
-2,=,15,10,
43,1,15,12,
-4,;,15,13,
42,i,15,15,
41,<=,15,17,
43,100,15,20,
30,;,15,23,
42,i,15,25,
26,=,15,27,
42,i,15,29,
22,+,15,31,
43,1,15,33,
28,{,16,1,
42,sum1,17,1,
26,=,17,6,
42,sum1,17,8,
22,+,17,13,
42,i,17,15,
30,;,17,16,
9,return,18,1,
43,0,18,8,
30,;,18,9,
29,},19,1,
